"StimulusNo","ImageCode","Description","Valence","Arousal","Dominance1","Cluster","MembershipUncertainty","Under75thQuantile"
1,"1930.0","Shark",3.79,6.42,3.19,1,0.000000002,TRUE
2,"1050.0","Snake",3.46,6.87,3.08,1,0.00000002,TRUE
3,"5972.0","Tornado",3.85,6.34,3.49,1,0.000000054,TRUE
4,"1931.0","Shark",4,6.8,3.51,1,0.000000127,TRUE
5,"1321.0","Bear",4.32,6.64,3.51,1,0.000000522,TRUE
6,"1070.0","Snake",3.96,6.16,3.71,1,0.000000535,TRUE
7,"5971.0","Tornado",3.49,6.65,3.3,1,0.000000594,TRUE
8,"1033.0","Snake",3.87,6.13,3.73,1,0.000000788,TRUE
9,"9831.0","Cigarette",2.95,4.61,6.04,1,0.000000861,TRUE
10,"9832.0","Cigarettes",2.94,4.46,5.53,1,0.000001447,TRUE
11,"9230.0","OilFire",3.89,5.77,3.73,1,0.00000145,TRUE
12,"1300.0","PitBull",3.55,6.79,3.49,1,0.000001618,TRUE
13,"1052.0","Snake",3.5,6.52,3.36,1,0.000001646,TRUE
14,"5940.0","Lava",4.23,6.29,3.7,1,0.000001774,TRUE
15,"1040.0","Snake",3.99,6.25,3.92,1,0.000003778,TRUE
16,"1120.0","Snake",3.79,6.93,3.87,1,0.000004027,TRUE
17,"1110.0","Snake",3.84,5.96,3.84,1,0.000004479,TRUE
18,"1051.0","Snake",3.8,5.95,3.8,1,0.000005692,TRUE
19,"1113.0","Snake",3.81,6.06,3.91,1,0.000010568,TRUE
20,"1022.0","Snake",4.26,6.02,3.9,1,0.000010914,TRUE
21,"1304.0","AttackDog",3.37,6.37,3.29,1,0.000012124,TRUE
22,"1302.0","Dog",4.21,6,4.04,1,0.000025488,TRUE
23,"1101.0","Snake",4.1,5.83,4.13,1,0.000026997,TRUE
24,"6832.0","Police",4.02,5.51,4.16,1,0.000029099,TRUE
25,"1090.0","Snake",3.7,5.88,3.82,1,0.000039081,TRUE
26,"1019.0","Snake",3.95,5.77,4.23,1,0.000045065,TRUE
27,"3022.0","Scream",3.7,5.88,3.84,1,0.00004594,TRUE
28,"2681.0","Police",4.04,4.97,3.84,1,0.000066458,TRUE
29,"6000.0","Prison",4.04,4.91,3.77,1,0.000083389,TRUE
30,"1200.0","Spider",3.95,6.03,4.33,1,0.000091131,TRUE
31,"8480.0","BikerOnFire",3.7,6.28,4,1,0.000091638,TRUE
32,"9008.0","Needle",3.47,4.45,5.3,1,0.000124739,TRUE
33,"9403.0","Soldiers",3.51,5.62,3.49,1,0.000129083,TRUE
34,"9395.0","Dishes",3.21,4.22,5.08,1,0.000135734,TRUE
35,"1301.0","Dog",3.7,5.77,3.96,1,0.000141499,TRUE
